epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,1094.97,0.87084,0.75621,1.10719,0.85126,0.75831,0.82895,0.58682,1.06674,0.79474,1.17317,0.000481141,0.000481141,0.000481141
66,1111.03,0.852,0.75329,1.0983,0.81633,0.73775,0.79933,0.56802,1.06145,0.8831,1.16361,0.000475643,0.000475643,0.000475643
67,1126.74,0.85347,0.73501,1.09629,0.82576,0.74941,0.8172,0.58422,1.07895,0.83192,1.18407,0.000470145,0.000470145,0.000470145
68,1142.34,0.85815,0.72258,1.10239,0.81864,0.74678,0.81542,0.57768,1.06686,0.84795,1.15527,0.000464647,0.000464647,0.000464647
69,1157.79,0.85011,0.73477,1.09714,0.88146,0.77982,0.84383,0.59136,1.07296,0.75832,1.17715,0.00045915,0.00045915,0.00045915
70,1173.29,0.84014,0.71607,1.09583,0.80644,0.75948,0.81208,0.57342,1.06298,0.83441,1.17338,0.000453652,0.000453652,0.000453652
71,1187.84,0.85139,0.71933,1.09365,0.808,0.75455,0.8065,0.58253,1.08024,0.86101,1.1596,0.000448154,0.000448154,0.000448154
72,1204.45,0.84736,0.71915,1.09666,0.84853,0.74144,0.80769,0.57431,1.0865,0.87179,1.16066,0.000442656,0.000442656,0.000442656
73,1221.19,0.8489,0.72465,1.09772,0.83156,0.77318,0.8274,0.58272,1.07488,0.77857,1.16692,0.000437158,0.000437158,0.000437158
74,1238.08,0.84272,0.71398,1.09423,0.81767,0.76823,0.81662,0.59084,1.05115,0.80005,1.13502,0.000431661,0.000431661,0.000431661
75,1254.76,0.83119,0.70632,1.08295,0.8149,0.79006,0.833,0.59816,1.0556,0.78473,1.14543,0.000426163,0.000426163,0.000426163
76,1271.71,0.83058,0.70302,1.08726,0.84274,0.77512,0.83266,0.59774,1.0751,0.79374,1.15289,0.000420665,0.000420665,0.000420665
77,1289.65,0.83125,0.6979,1.08961,0.83086,0.76998,0.82996,0.59085,1.05899,0.79013,1.1518,0.000415167,0.000415167,0.000415167
78,1306.97,0.83432,0.70182,1.08615,0.8079,0.79102,0.83793,0.59614,1.06547,0.8068,1.15094,0.000409669,0.000409669,0.000409669
79,1324.62,0.81814,0.70193,1.08333,0.81566,0.74951,0.82435,0.58983,1.07128,0.80776,1.1594,0.000404172,0.000404172,0.000404172
80,1341.73,0.82315,0.68656,1.08268,0.86696,0.75914,0.83668,0.58782,1.0832,0.78743,1.17502,0.000398674,0.000398674,0.000398674
81,1359.68,0.82763,0.68869,1.08835,0.88771,0.74016,0.82734,0.58998,1.06041,0.78829,1.16263,0.000393176,0.000393176,0.000393176
82,1378.35,0.82475,0.68564,1.08381,0.8731,0.72352,0.83657,0.59196,1.05726,0.76576,1.15993,0.000387678,0.000387678,0.000387678
83,1397.92,0.82383,0.68892,1.07709,0.87907,0.74847,0.82972,0.59318,1.05824,0.76805,1.15736,0.00038218,0.00038218,0.00038218
84,1413.1,0.8116,0.67478,1.07684,0.81474,0.76266,0.81964,0.58506,1.06513,0.7846,1.17033,0.000376683,0.000376683,0.000376683
85,1430.59,0.81137,0.68067,1.08282,0.88151,0.74014,0.83438,0.59272,1.06785,0.77361,1.16757,0.000371185,0.000371185,0.000371185
86,1448.76,0.80322,0.68205,1.07746,0.87352,0.76078,0.84231,0.59997,1.06502,0.7605,1.15995,0.000365687,0.000365687,0.000365687
87,1466.71,0.80232,0.65933,1.07175,0.88214,0.74757,0.83954,0.59919,1.06152,0.76034,1.164,0.000360189,0.000360189,0.000360189
88,1483.81,0.81316,0.66946,1.08288,0.85994,0.77298,0.84952,0.60142,1.07068,0.73763,1.1512,0.000354691,0.000354691,0.000354691
89,1501.69,0.80331,0.66621,1.0751,0.86956,0.73496,0.83297,0.58959,1.07326,0.7545,1.18024,0.000349194,0.000349194,0.000349194
90,1519,0.79941,0.66261,1.07383,0.84897,0.7679,0.82655,0.59086,1.05863,0.75411,1.15893,0.000343696,0.000343696,0.000343696
91,1537.15,0.79532,0.65675,1.07324,0.83731,0.76421,0.82848,0.59312,1.04962,0.78418,1.15694,0.000338198,0.000338198,0.000338198
92,1554.21,0.78615,0.64415,1.06996,0.8548,0.76025,0.8333,0.5921,1.05887,0.75602,1.1571,0.0003327,0.0003327,0.0003327
93,1572.97,0.80013,0.64997,1.07036,0.8497,0.78283,0.83334,0.58861,1.0594,0.76994,1.13841,0.000327202,0.000327202,0.000327202
94,1590.5,0.78536,0.63373,1.06795,0.84493,0.7675,0.82884,0.59244,1.05576,0.78355,1.15748,0.000321705,0.000321705,0.000321705
95,1608.1,0.79069,0.6445,1.06528,0.83006,0.77178,0.83841,0.60289,1.06044,0.75141,1.15728,0.000316207,0.000316207,0.000316207
96,1625.09,0.77808,0.63697,1.06265,0.86607,0.7795,0.8403,0.60371,1.0493,0.77175,1.156,0.000310709,0.000310709,0.000310709
97,1641.21,0.77726,0.6306,1.065,0.85374,0.75931,0.82221,0.5918,1.06769,0.77167,1.15832,0.000305211,0.000305211,0.000305211
