                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.0612,                 1.1529,                 1.2353,                0.79415,                0.66373,                0.75286,                0.50945,                 1.1701,                0.97812,                 1.1571,                0.00703,                0.00703,                0.00703
                     47,                 1.0564,                  1.141,                 1.2301,                0.80411,                0.67481,                0.75903,                0.51238,                 1.1595,                0.96306,                 1.1404,               0.006964,               0.006964,               0.006964
                     48,                 1.0603,                 1.1443,                 1.2355,                0.79974,                0.68656,                0.75846,                0.51458,                 1.1612,                0.97494,                 1.1514,               0.006898,               0.006898,               0.006898
                     49,                 1.0479,                 1.1384,                 1.2305,                 0.8095,                0.65637,                0.74827,                0.50465,                 1.1664,                0.98834,                 1.1573,               0.006832,               0.006832,               0.006832
                     50,                 1.0502,                 1.1151,                 1.2289,                0.80574,                0.66696,                0.75082,                0.50674,                 1.1795,                0.97759,                 1.1615,               0.006766,               0.006766,               0.006766
                     51,                 1.0371,                 1.1142,                 1.2254,                0.80358,                0.70746,                0.77385,                0.52526,                 1.1395,                0.93166,                 1.1258,                 0.0067,                 0.0067,                 0.0067
                     52,                 1.0359,                 1.0894,                 1.2172,                0.79677,                0.72067,                0.77943,                0.52915,                 1.1713,                0.92105,                 1.1372,               0.006634,               0.006634,               0.006634
                     53,                 1.0357,                 1.0909,                 1.2207,                0.81933,                0.68431,                0.75564,                0.51605,                 1.1524,                0.95005,                 1.1379,               0.006568,               0.006568,               0.006568
                     54,                 1.0315,                 1.0852,                 1.2162,                0.78485,                0.72215,                0.77896,                0.53404,                 1.1502,                0.89654,                 1.1215,               0.006502,               0.006502,               0.006502
                     55,                 1.0362,                 1.0946,                 1.2224,                0.84905,                0.68342,                 0.7742,                 0.5315,                 1.1329,                0.91122,                 1.1196,               0.006436,               0.006436,               0.006436
                     56,                 1.0327,                 1.0741,                 1.2173,                0.83634,                0.68177,                0.76706,                0.51954,                 1.1369,                0.93344,                   1.13,                0.00637,                0.00637,                0.00637
                     57,                 1.0333,                 1.0784,                 1.2157,                0.78336,                0.69242,                0.75684,                0.52055,                 1.1418,                0.96259,                 1.1338,               0.006304,               0.006304,               0.006304
                     58,                  1.028,                 1.0782,                 1.2168,                0.85163,                0.66423,                0.76811,                0.52327,                 1.1563,                0.93532,                 1.1399,               0.006238,               0.006238,               0.006238
                     59,                 1.0207,                  1.058,                 1.2143,                0.81458,                0.69796,                 0.7714,                0.52688,                 1.1454,                0.92546,                 1.1359,               0.006172,               0.006172,               0.006172
                     60,                 1.0207,                 1.0573,                 1.2089,                0.81145,                0.69596,                0.77517,                0.53333,                 1.1391,                0.91903,                 1.1279,               0.006106,               0.006106,               0.006106
                     61,                 1.0143,                 1.0487,                 1.2078,                0.82921,                 0.6816,                0.76973,                0.52844,                 1.1304,                0.90788,                  1.127,                0.00604,                0.00604,                0.00604
                     62,                 1.0073,                 1.0518,                   1.21,                0.85379,                0.68333,                0.77567,                0.54581,                 1.1114,                0.89931,                 1.1141,               0.005974,               0.005974,               0.005974
                     63,                 1.0102,                 1.0385,                 1.2088,                0.81446,                0.70273,                0.78332,                0.53947,                  1.127,                0.90763,                 1.1258,               0.005908,               0.005908,               0.005908
                     64,                 1.0064,                  1.024,                 1.2046,                0.80827,                 0.7297,                0.79086,                0.54633,                 1.1193,                 0.8805,                 1.1103,               0.005842,               0.005842,               0.005842
                     65,                 1.0075,                 1.0281,                 1.2007,                0.84427,                0.70268,                0.78771,                0.54262,                 1.1264,                0.88612,                  1.112,               0.005776,               0.005776,               0.005776
                     66,                 1.0068,                 1.0326,                 1.2035,                0.81187,                0.71205,                0.77101,                0.53402,                 1.1144,                  0.923,                 1.1079,                0.00571,                0.00571,                0.00571
                     67,                 1.0019,                 1.0247,                 1.1998,                0.81966,                0.72056,                0.78306,                0.54128,                 1.1183,                0.90292,                 1.1153,               0.005644,               0.005644,               0.005644
                     68,                0.99472,                 1.0197,                 1.1999,                0.84687,                0.69538,                0.77632,                0.54045,                 1.1158,                0.92051,                 1.1141,               0.005578,               0.005578,               0.005578
                     69,                0.99691,                 1.0046,                 1.1952,                0.83413,                 0.7083,                 0.7812,                0.54082,                 1.1116,                0.90702,                 1.1103,               0.005512,               0.005512,               0.005512
                     70,                0.99046,                0.99797,                 1.1933,                0.84616,                0.71061,                0.78276,                0.54127,                 1.1273,                0.89439,                 1.1227,               0.005446,               0.005446,               0.005446
                     71,                0.98651,                 1.0031,                 1.1935,                0.83524,                0.72483,                0.78866,                0.55166,                 1.1068,                0.87105,                 1.1154,                0.00538,                0.00538,                0.00538
                     72,                0.98575,                0.98574,                 1.1911,                0.82021,                0.72966,                0.79061,                0.55285,                 1.1067,                0.86376,                 1.1139,               0.005314,               0.005314,               0.005314
                     73,                0.98734,                0.99423,                 1.1932,                0.81975,                0.72978,                 0.7925,                0.55155,                 1.1119,                 0.8702,                 1.1077,               0.005248,               0.005248,               0.005248
                     74,                0.97523,                0.97785,                  1.187,                0.83314,                0.72527,                0.78995,                0.55275,                 1.1072,                0.85867,                 1.1114,               0.005182,               0.005182,               0.005182
                     75,                0.98762,                0.98915,                 1.1941,                0.83638,                 0.7134,                0.79282,                0.55204,                 1.1129,                0.85109,                 1.1166,               0.005116,               0.005116,               0.005116
                     76,                0.97966,                 0.9871,                 1.1921,                0.82812,                0.72551,                 0.7933,                0.55163,                 1.0983,                0.85501,                 1.1123,                0.00505,                0.00505,                0.00505
                     77,                0.96294,                0.96878,                 1.1842,                  0.841,                0.69497,                0.78261,                 0.5477,                 1.1041,                0.86165,                 1.1134,               0.004984,               0.004984,               0.004984
                     78,                0.97338,                0.96358,                 1.1868,                0.85859,                 0.6985,                0.79568,                0.55621,                 1.1122,                0.84524,                 1.1156,               0.004918,               0.004918,               0.004918
                     79,                0.97804,                0.97006,                 1.1869,                0.85325,                0.70346,                0.78946,                0.55085,                 1.1145,                0.86397,                 1.1163,               0.004852,               0.004852,               0.004852
                     80,                0.97058,                 0.9595,                 1.1824,                0.84281,                0.70761,                0.79102,                0.55139,                 1.1074,                0.85238,                 1.1124,               0.004786,               0.004786,               0.004786
                     81,                0.96158,                0.94425,                 1.1781,                0.84529,                0.72636,                0.80267,                0.55927,                 1.1101,                0.84692,                 1.1125,                0.00472,                0.00472,                0.00472
                     82,                0.97102,                0.94428,                 1.1824,                0.84735,                0.72106,                0.79948,                0.55652,                 1.1088,                0.84077,                 1.1047,               0.004654,               0.004654,               0.004654
                     83,                0.95864,                0.93529,                 1.1755,                 0.8602,                0.70216,                0.79914,                0.55288,                 1.1131,                0.83815,                 1.1117,               0.004588,               0.004588,               0.004588
                     84,                0.96156,                0.94686,                 1.1809,                0.83616,                0.73014,                0.79518,                 0.5527,                 1.1206,                0.84454,                 1.1202,               0.004522,               0.004522,               0.004522
                     85,                0.94515,                0.92981,                 1.1753,                0.84096,                0.71776,                0.78987,                 0.5504,                 1.1238,                0.85495,                 1.1241,               0.004456,               0.004456,               0.004456
                     86,                0.97073,                0.93961,                 1.1764,                0.81725,                0.74173,                0.79281,                0.55006,                 1.1255,                0.84601,                 1.1215,                0.00439,                0.00439,                0.00439
                     87,                0.94846,                0.92496,                 1.1696,                0.84993,                0.71471,                0.79595,                0.55693,                 1.1274,                0.83757,                 1.1205,               0.004324,               0.004324,               0.004324
